1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	12959961
21	3862651
22	1186380
23	385679
24	143124
25	65197
26	37727
27	27822
28	21138
29	17917
30	15470
31	13264
32	12123
33	10650
34	9536
35	8173
36	7575
37	6676
38	6021
39	5446
40	5029
41	4514
42	4014
43	3687
44	3304
45	3055
46	2763
47	2618
48	2403
49	2136
50	1983
51	1790
52	1769
53	1601
54	1524
55	1320
56	1267
57	1182
58	1171
59	1049
60	954
61	927
62	897
63	757
64	777
65	769
66	671
67	637
68	604
69	530
70	541
71	523
72	492
73	465
74	423
75	412
76	396
77	375
78	335
79	358
80	321
81	300
82	297
83	294
84	301
85	258
86	240
87	245
88	226
89	200
90	209
91	208
92	165
93	184
94	193
95	148
96	158
97	140
98	148
99	156
100	130
101	137
102	158
103	106
104	120
105	113
106	129
107	122
108	90
109	96
110	92
111	95
112	95
113	86
114	96
115	101
116	81
117	72
118	76
119	80
120	64
121	54
122	57
123	56
124	72
125	66
126	67
127	69
128	52
129	72
130	47
131	52
132	33
133	44
134	49
135	44
136	39
137	43
138	41
139	42
140	31
141	33
142	47
143	32
144	41
145	30
146	42
147	42
148	28
149	24
150	29
151	29
152	33
153	34
154	22
155	16
156	26
157	19
158	24
159	41
160	26
161	18
162	22
163	22
164	19
165	26
166	25
167	25
168	27
169	19
170	21
171	28
172	20
173	16
174	13
175	26
176	13
177	13
178	15
179	13
180	17
181	13
182	19
183	12
184	18
185	12
186	11
187	14
188	17
189	16
190	14
191	11
192	9
193	16
194	11
195	6
196	6
197	3
198	10
199	7
200	9
201	10
202	8
203	3
204	5
205	4
206	7
207	6
208	4
209	10
210	9
211	8
212	8
213	8
214	2
215	10
216	6
217	3
218	6
219	9
220	2
221	2
222	7
223	9
224	10
225	4
226	6
227	5
228	4
229	5
230	4
231	5
232	5
233	5
234	6
235	8
236	3
237	4
238	6
239	2
240	5
241	4
242	4
243	8
244	4
245	2
246	3
247	8
248	4
249	4
250	2
251	1
252	3
253	1
254	1
255	3
256	3
257	6
258	0
259	1
260	0
261	2
262	3
263	2
264	2
265	6
266	3
267	4
268	2
269	3
270	2
